HolderAddress,Balance,PendingBalanceUpdate
0xc6e6dd6a0c61651d1bc055dc1c22418a729d41bb,1.00E-18,No
0xc96e6b2076c7a5267f4146acca24ed05a957b879,85.73418657,No
0xc9b22861e6acf0fc2316eb7a7608e8d2be4847da,2.410117494,No
0xca9e31eaa961ebf3ebfd016b5879569c3e30e4a6,16.56117586,No
0xcd78829b418e18b85d4e0acdf2fbfec610ff025e,0.10419547,No
0xcdfe83d7572a16a85f1ec7d6df3602e3b2e43665,2,No
0xce7ecb8d65c7732bf18f902a97549a74287ca376,0.009668156,No
0xced608aa29bb92185d9b6340adcbfa263dae075b,9.00E-17,No
0xd13871cf35bdb480fc5c0da8cb74e0b90c1b12d4,28.91713971,No
0xd26a3f686d43f2a62ba9eae2ff77e9f516d945b9,299.3070267,No
0xd2d35f43ed710ba948a3cc506442828e4bba4787,9.724853825,No
0xd2ddb0e1c223a873c77ee80497e9d82c1002e483,45,No
0xd4e928fad6724ca9d21a02236c3046336c41d861,305.7208729,No
0xd8d10abf300356c7915c8d5db33f0fbdcfd603c7,26.5789356,No
0xd8ebdc5345ed262a66a8924abea096cd0f2fb7ba,10.18517691,No
